Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
13-503,"Broccoli, green, boiled in unsalted water","As raw, boiled for 3-8 minutes, Calabrese",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",90.8,3.3,0.5,2.8,28,120,0.7,1.6,0.8,0.01,0.8,0.01,0.0,0.0,NULL,2.3,2.8,0.12,0.05,0.20,0.01,0.0,6,212,35,14,59,0.60,0.05,0.4,50,0.20,1,2,0,598,0.0,1.67,135.00,0.04,0.06,0.5,0.9,0.11,0.0,34,0.28,3.5,44
13-502,"Broccoli, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, Calabrese",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",88.2,4.3,0.6,3.2,34,146,0.6,1.9,0.7,0.01,1.2,0.01,0.0,0.0,0.0,2.5,4.0,0.15,0.07,0.25,0.01,0.0,9,397,48,22,81,1.06,0.08,0.7,73,0.28,1,2,0,581,0.0,1.72,185.00,0.15,0.12,0.8,0.9,0.13,0.0,95,0.61,4.1,79
13-504,"Broccoli, green, steamed","As raw, steamed for 3-9 minutes, Calabrese",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",88.4,4.1,0.5,3.5,34,142,0.8,2.0,0.8,0.01,0.9,0.3,0.0,0.0,0.0,2.6,3.8,0.12,0.05,0.20,0.01,0.0,7,373,44,21,74,0.75,0.08,0.6,70,0.25,1,2,0,364,0.0,1.84,NULL,0.29,0.15,0.8,0.8,0.13,0.0,72,0.58,3.8,60
13-176,"Broccoli, purple sprouting, boiled in unsalted water",Based on boiled in salted water,DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",91.9,2.1,0.6,1.3,19,80,0.1,0.9,0.3,0.0,0.5,0.1,0.0,0.0,NULL,2.3,NULL,0.10,0.01,0.30,NULL,0.0,6,170,110,12,61,1.00,0.02,0.3,37,0.20,0.01,2,0,385,0.0,1.10,NULL,0.05,0.11,0.1,0.4,0.23,0.0,140,0.70,0.3,44
13-174,"Broccoli, purple sprouting, raw",Tough stems and coarse leaves removed,DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",85.7,3.9,1.1,2.6,35,148,0.2,2.1,0.7,0.0,1.1,0.3,0.0,0.0,NULL,3.5,NULL,0.20,0.10,0.60,NULL,0.0,10,380,200,24,57,1.90,0.02,0.5,100,0.20,0.01,2,0,685,0.0,1.30,NULL,0.10,0.12,0.1,0.7,0.25,0.0,195,1.00,0.5,110
17-706,Brown fruity sauce,"10 bottles, 4 brands",WCN,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",68.2,1.2,0.1,22.2,98,418,2.6,19.6,7.3,0.0,8.3,4.0,0.0,0.0,0.0,0.7,NULL,0.01,0.01,0.01,0.00,0.0,510,330,35,53,21,1.20,0.10,0.2,NULL,0.34,NULL,NULL,0,40,0.0,NULL,NULL,0.13,0.09,0.1,0.2,0.10,0.0,8,NULL,NULL,0.01
17-678,"Brown sauce, reduced salt/sugar",Estimated from brown sauce and label data,WCN,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",79.2,0.7,0.1,20,88,374,5.8,14.1,5.2,0.0,5.9,3.0,0.0,0.0,0.0,0.7,NULL,0.01,0.01,0.01,0.00,0.0,390,221,23,36,14,0.80,0.07,0.1,445,0.23,NULL,NULL,0,40,0.0,NULL,NULL,0.09,0.06,0.1,0.1,0.07,0.0,5,NULL,NULL,0.01
11-1127,"Brownies, chocolate, homemade",Recipe,AN,Updated 2014,6.3,6.2,30.8,54.3,506,2114,8.2,46.1,0.0,NULL,0.0,45.9,0.0,0.2,NULL,1.7,NULL,16.43,8.11,4.02,0.63,111.8,187,217,44,60,135,1.75,0.49,1.1,290,0.21,5,18,233,136,0.8,1.27,NULL,0.07,0.12,0.4,1.4,0.08,0.6,14,0.37,4.4,0.01
13-630,"Brussels sprouts, boiled in unsalted water","11 samples, UK, including standard, peeled and baby. Base trimmed and outer leaves removed, boiled for 4-10 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",85.8,3.1,0.4,4.2,32,135,0.3,3.7,0.6,0,0.5,2.6,0,0,0,3.1,3.2,0.09,0.03,0.22,0,0,5,404,26,17,71,0.6,0.04,0.3,25,0.23,1,1,0,160,0,0.32,127,0.05,0.07,0.4,0.5,0.23,0,124,0.4,0.5,40
13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",84.3,3.5,1.4,4.1,42,177,0.8,3.1,1.1,0.0,1.3,0.7,0.0,0.0,0.0,4.1,NULL,0.30,0.10,0.70,0.00,0.0,6,450,26,8,77,0.70,0.02,0.5,38,0.20,NULL,1,0,215,0.0,1.00,153.00,0.15,0.11,0.2,0.7,0.37,0.0,135,1.00,0.4,115
15-704,"Bubble and squeak, fried in rapeseed oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,Updated 2014,76.2,1.7,9.0,10.1,126,525,8.5,1.6,0.7,NULL,0.6,0.3,0.0,0.0,0.0,1.8,1.9,0.62,5.28,2.68,0.01,0.0,3,282,31,14,31,0.39,0.05,0.2,78,0.12,1,1,0,162,0.0,2.12,NULL,0.18,0.03,0.3,0.4,0.07,0.0,30,0.33,0.2,28
15-703,"Bubble and squeak, fried in sunflower oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,Updated 2014,76.0,1.7,9.1,10.2,128,530,8.6,1.6,0.7,NULL,0.6,0.3,0.0,0.0,0.0,1.8,1.9,1.11,1.85,5.75,0.01,0.0,3,283,30,14,31,0.39,0.05,0.2,78,0.12,1,1,0,160,0.0,4.56,NULL,0.18,0.03,0.3,0.4,0.07,0.0,29,0.33,0.2,27
11-006,"Buckwheat, groats",Literature sources,AA,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",13.2,8.1,1.5,84.9,364,1522,84.5,0.4,0.01,NULL,0.01,0.01,0.01,0.0,NULL,2.1,NULL,NULL,NULL,NULL,NULL,NULL,1,220,12,48,150,2.00,0.70,2.6,NULL,1.60,9,NULL,NULL,NULL,0.0,0.01,NULL,0.28,0.07,2.8,1.7,0.40,0.0,NULL,1.20,NULL,0
17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,Industry data 2013; some minerals estimated from MW5,4.2,20.5,0.7,63.0,325,1383,0.01,62.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,8.2,0.40,NULL,NULL,0.01,12.0,250,1070,725,263,600,13.38,4.90,14.0,NULL,2.60,NULL,150,900,0.01,4.5,10.00,NULL,1.60,2.60,16.0,5.8,2.20,2.3,180,9.00,130.0,65
17-728,"Build-up powder, soup, assorted flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,"Industry data, 2013",3.0,14.4,14.9,57.3,407,1713,26.4,14.3,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,6.5,4.60,NULL,NULL,0.01,NULL,980,767,763,232,541,10.50,NULL,10.7,NULL,NULL,NULL,102,583,NULL,3.6,6.40,NULL,1.70,1.10,12.9,NULL,1.50,1.6,146,4.58,140.0,60
19-651,"Burger, beef, 62-85% beef, raw","10 samples, 6 brands containing onion, frozen and chilled",MBG,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",63.3,15.9,15.2,4.9,219,911,2.2,2.7,NULL,0.0,NULL,NULL,0.3,0.0,0.0,NULL,0.7,5.72,6.72,1.50,0.57,65.7,330,210,32,18,170,2.10,0.11,2.5,460,0.13,NULL,NULL,4,0.01,NULL,NULL,NULL,0.07,0.23,2.6,NULL,0.17,2.0,12,NULL,NULL,0.01
19-546,"Burger, beef, 62-85%, beef, grilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",57.1,18.3,13.8,8.5,229,958,6.4,2.1,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,0.6,5.22,6.15,1.36,0.49,60.0,440,270,40,25,200,2.50,0.15,1.2,660,0.25,NULL,NULL,5,0.01,NULL,NULL,NULL,0.07,0.07,3.8,NULL,0.17,2.0,24,NULL,NULL,0.01
19-490,"Burger, beef, 98-99% beef, fried in vegetable oil","8 samples, 3 brands, chilled and frozen",MBG,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",46.2,28.5,23.9,0.1,329,1370,0.01,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.7,10.70,10.80,0.80,0.78,96.0,470,420,12,26,240,2.80,0.13,6.3,570,0.02,10,13,0.01,0.01,1.9,0.54,NULL,0.01,0.22,5.5,4.3,0.31,3.0,8,0.85,2.0,0
19-491,"Burger, beef, 98-99% beef, grilled","8 samples, 3 brands, chilled and frozen",MBG,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",47.9,26.5,24.4,0.1,326,1355,0.01,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.7,10.90,11.20,0.70,1.40,75.0,400,380,10,22,210,2.50,0.13,6.1,520,0.02,9,12,0.01,0.01,1.8,0.39,NULL,0.01,0.20,5.1,4.0,0.31,3.0,10,0.84,2.0,0
19-492,"Burger, beef, 98-99% beef, raw","8 samples, 3 brands, chilled and frozen",MBG,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",56.1,17.1,24.7,0.1,291,1206,0.01,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.5,10.71,11.35,0.49,1.43,76.0,290,290,7,16,150,1.70,0.12,3.8,350,0.02,8,8,0.01,0.01,1.2,0.28,NULL,0.01,0.15,3.5,2.5,0.28,2.0,9,0.78,1.0,0
19-553,"Burger, beef, fried in rapeseed oil, homemade",Recipe,MR,Updated 2014,50.3,23.9,21.9,1.1,297,1233,0.01,0.8,0.3,NULL,0.2,0.3,0.0,0.0,NULL,0.2,0.3,8.32,9.74,1.45,0.92,107.7,109,331,20,22,205,1.83,0.01,4.6,114,0.02,11,16,14,2,1.2,0.89,NULL,0.08,0.17,5.3,4.5,0.36,2.6,17,0.58,3.4,0
19-555,"Burger, beef, grilled, homemade",Recipe,MR,Updated 2014,50.5,25.0,20.3,1.1,288,1195,0.01,0.9,0.3,NULL,0.3,0.3,0.0,0.0,NULL,0.2,0.3,8.54,8.65,0.75,0.96,112.8,114,346,21,23,215,1.92,0.01,4.8,119,0.03,11,17,15,2,1.2,0.36,NULL,0.08,0.18,5.6,4.7,0.37,2.2,20,0.59,3.5,0
19-554,"Burger, beef, with bun, fried in rapeseed oil, homemade",Recipe,MR,Updated 2014,47.0,21.0,18.6,10.3,291,1212,9.0,1.1,NULL,NULL,NULL,NULL,NULL,0.0,NULL,0.5,0.2,6.93,8.12,1.38,NULL,87.0,194,289,41,24,194,1.92,0.03,3.8,263,0.11,11,17,NULL,2,NULL,0.72,NULL,0.11,0.16,4.6,4.0,0.30,2.1,23,0.53,2.9,0
19-556,"Burger, beef, with bun, grilled, homemade",Recipe,MR,Updated 2014,47.1,21.9,17.4,10.3,283,1181,9.0,1.1,NULL,NULL,NULL,NULL,NULL,0.0,NULL,0.4,NULL,7.11,7.24,0.82,NULL,91.1,198,301,42,25,203,1.99,0.03,4.0,267,0.12,11,17,NULL,2,NULL,0.29,NULL,0.11,0.16,4.8,4.2,0.31,1.8,25,0.53,3.0,0
19-493,"Burger, Big Mac, takeaway","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,"Industry data (McDonald's), 2013",NULL,13.1,11.2,20.9,232,972,17.0,3.9,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,1.9,4.70,4.60,1.70,0.10,23.0,390,142,68,22,142,0.90,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,0.3,0.23,NULL,0.05,0.11,NULL,NULL,0.01,NULL,NULL,NULL,NULL,1
19-545,"Burger, cheeseburger, takeaway","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,"Industry data, 1998, 2013; and calculated from ingredients",47.0,13.6,10.4,28.3,254,1069,22.6,5.7,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.7,1.4,4.90,NULL,NULL,NULL,32.0,560,210,85,27,230,1.10,0.13,3.0,760,0.23,15,15,24,23,0.3,0.26,NULL,0.17,0.18,2.2,2.8,0.19,2.0,23,0.46,1.0,NULL
19-315,"Burger, chicken, takeaway","Includes chicken burger, bun, lettuce and mayonnaise",MBG,"Reviewed 2013. Meat Products and Dishes Supplement, 1996. Proximates as weighted average of manufacturer data (McDonalds, KFC, Wimpy (5:4:1))",NULL,12.5,10.8,23.4,235,987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,1.0,1.3,NULL,NULL,NULL,NULL,NULL,560,190,19,NULL,NULL,0.40,NULL,NULL,NULL,0.01,9,NULL,NULL,NULL,NULL,NULL,NULL,0.26,0.07,4.3,NULL,0.28,NULL,NULL,NULL,NULL,NULL
18-502,"Burger, chicken/turkey, coated, retail, grilled","10 samples, 7 products, breaded and battered",MCA,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",48.3,14.2,15.5,18.7,266,1113,17.7,0.9,0.2,0.01,0.01,0.2,0.5,0.01,NULL,1.1,0.8,2.63,7.57,4.48,0.03,35.7,383,337,41,23,160,0.98,0.09,0.8,610,0.20,9,3,0.01,0.01,0.01,2.47,NULL,0.10,0.11,7.2,4.2,0.42,2.8,21,1.23,0.6,0
19-544,"Burger, hamburger, takeaway","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,"Industry data (Burger King), 2013; and calculation from ingredient proportions",45.2,13.5,8.3,31.2,246,1036,24.6,6.6,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.8,1.8,3.50,3.60,0.70,0.17,34.6,480,210,40,28,170,1.20,0.12,3.0,700,0.25,16,13,NULL,0.01,0.3,0.22,NULL,0.19,0.12,2.5,2.7,0.18,1.0,24,0.48,1.0,NULL
19-487,"Burger, Quarter Pounder with cheese, takeaway","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,"Industry data (McDonald's), 2013",NULL,16.3,13.2,21.2,263,1102,15.6,5.5,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,1.6,6.80,5.60,0.90,0.10,33.0,463,168,110,22,141,1.00,NULL,NULL,354,NULL,NULL,NULL,0.01,NULL,0.2,0.14,NULL,0.04,0.12,NULL,NULL,0.06,NULL,NULL,NULL,NULL,0.01
19-514,"Burger, Whopper, takeaway","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,"Industry data (Burger King), 2013; and calculation from ingredient proportions",55.8,10.4,12.1,19.2,223,932,15.0,4.2,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.8,1.2,3.30,6.30,2.00,0.30,25.0,357,230,50,20,130,1.80,0.09,2.2,NULL,0.21,12,13,7,94,0.2,1.80,NULL,0.15,0.11,2.4,2.0,0.13,1.0,25,0.40,1.0,2
17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",14.9,0.6,82.2,0.6,744,3059,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,52.09,20.91,2.83,2.87,213.2,730,27,18,2,23,0.01,0.01,0.1,1120,0.01,0.01,38,958,608,0.9,1.85,7.40,0.01,0.07,0.01,0.1,0.01,0.3,0.01,0.05,0.2,0.01
17-655,"Butter, spreadable (75-80% fat)","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",18.7,0.4,79.1,0.5,715,2941,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,34.15,29.54,10.00,1.38,153.0,484,16,11,1,12,0.04,0.01,0.1,720,0.01,0.01,4,521,243,0.6,10.50,NULL,0.01,0.04,0.01,0.1,0.01,0.1,0.01,0.03,0.1,0.01
17-656,"Butter, spreadable, light (60% fat)","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",37.3,0.5,60.2,0.8,547,2248,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,25.70,22.66,7.75,1.01,110.7,467,26,17,0.01,15,0.25,0.01,0.1,680,0.01,1,8,380,342,0.4,8.27,NULL,0.01,0.03,0.01,0.01,0.01,0.1,0.01,0.02,0.1,0.01
17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",14.9,0.6,82.2,0.6,744,3059,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,52.09,20.91,2.83,2.87,213.0,8,27,18,2,23,0.01,0.01,0.1,18,0.01,0.01,38,958,608,0.9,1.85,7.40,0.01,0.07,0.01,0.1,0.01,0.3,0.01,0.05,0.2,0.01
17-001,"Butteroil, unsalted",Calculated from butter,OB,"Miscellaneous Foods Supplement, 1994",0.5,0.6,99.3,0.01,896,3684,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,NULL,65.60,24.10,3.20,NULL,280.0,15,18,18,2,29,0.20,0.04,0.1,22,0.01,0.01,46,990,525,0.9,2.40,NULL,0.01,0.02,0.01,0.1,0.01,0.01,0.01,0.05,0.01,0
19-631,"Cabbage leaves, stuffed with lamb and rice, homemade",Recipe,MR,Updated 2014,78.4,7.1,4.2,8.3,100,418,6.4,1.6,0.7,NULL,0.6,0.3,0.0,0.0,NULL,1.0,1.5,1.80,1.58,0.28,0.30,32.9,153,190,30,13,80,0.76,0.06,1.2,69,0.13,3,5,6,NULL,0.3,0.18,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL,NULL,NULL,7
13-581,"Cabbage, average, boiled in unsalted water",Average of green and white cabbage,DG,"DH, Nutrient analysis of fruit and vegetables, 2013",92.6,1.1,0.2,2.8,17,70,0.0,2.8,1.3,0.01,1.1,0.3,0.0,0.0,NULL,2.0,2.2,0.02,0.01,0.09,0.00,0.0,5,172,47,9,24,0.34,0.02,0.1,72,0.11,1,1,0,159,0.0,0.15,121.10,0.13,0.03,0.3,0.2,0.06,0.0,38,0.17,0.1,32
13-582,"Cabbage, average, raw",Average of white (13-509) and green (13-510) cabbage,DG,"DH, Nutrient analysis of fruit and vegetables, 2013",89.3,1.8,0.2,4.4,26,108,0.0,4.4,2.2,0.01,1.9,0.3,0.0,0.0,0.0,2.3,3.5,0.02,0.01,0.10,0.00,0.0,7,258,56,13,32,0.45,0.04,0.2,85,0.15,1,2,0,227,0.0,0.06,151.00,0.28,0.03,0.5,0.2,0.13,0.0,65,0.28,0.1,48
13-187,"Cabbage, Chinese, raw","Base trimmed, outer leaves removed",DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",95.4,1.0,0.2,1.4,12,49,0.01,1.4,0.8,0.0,0.6,0.01,0.0,0.0,NULL,1.2,NULL,0.01,0.01,0.10,NULL,0.0,7,230,54,7,27,0.60,0.02,0.2,18,0.30,NULL,NULL,0,70,0.0,NULL,NULL,0.09,0.01,0.2,0.2,0.11,0.0,77,0.11,0.01,21
13-511,"Cabbage, green, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",91.9,1.5,0.2,2.3,17,70,0.0,2.3,1.0,0.01,0.9,0.4,0.0,0.0,0.0,2.6,2.2,0.04,0.01,0.13,0.00,0.0,5,187,54,9,29,0.40,0.03,0.2,79,0.12,1,1,0,317,0.0,0.27,201.00,0.15,0.05,0.3,0.3,0.07,0.0,40,0.21,0.01,45
13-510,"Cabbage, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",88.4,2.4,0.2,4.1,27,114,0.0,4.1,2.0,0.01,1.8,0.3,0.0,0.0,0.0,2.7,4.1,0.04,0.01,0.12,0.00,0.0,7,288,56,14,37,0.52,0.04,0.3,75,0.18,1,1,0,454,0.0,0.08,242.00,0.33,0.04,0.6,0.3,0.14,0.0,45,0.36,0.1,48
13-540,"Cabbage, red, boiled in unsalted water","Outer leaves and stem removed. Shredded and boiled 19 minutes, based on boiled in salted water",DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",92.6,0.8,0.3,2.3,15,61,0.1,2.0,0.9,0.0,0.9,0.2,0.0,0.0,NULL,2.0,2.3,0.01,0.01,0.20,0.00,0.0,6,130,44,6,34,0.30,0.01,0.1,36,0.20,2,2,0,12,0.0,0.20,NULL,0.02,0.01,0.2,0.1,0.04,0.0,31,0.22,0.1,32
15-705,"Cabbage, red, cooked with apple",Recipe from literature sources,DR,Updated 2014,79.6,0.9,2.6,7.9,57,241,0.1,7.5,1.6,0.01,2.1,3.9,0.0,0.01,NULL,2.1,0.1,0.77,1.06,0.54,0.00,0.3,30,204,46,8,30,0.33,0.02,0.1,72,0.15,1,2,NULL,36,NULL,NULL,NULL,0.02,0.01,0.3,0.2,0.06,0.0,14,0.19,0.3,21
13-190,"Cabbage, red, raw",Outer leaves and stem removed,DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",90.7,1.1,0.3,3.7,21,89,0.1,3.3,1.5,0.0,1.4,0.4,0.0,0.0,NULL,2.5,2.9,0.01,0.01,0.20,NULL,0.0,8,250,60,9,37,0.40,0.01,0.1,45,0.20,2,2,0,15,0.0,0.20,NULL,0.02,0.01,0.4,0.2,0.09,0.0,39,0.32,0.1,55
13-584,"Cabbage, white, boiled in unsalted water",Calculated from 13-509 using dry matter weights,DG,"DH, Nutrient analysis of fruit and vegetables, 2013",93.2,0.8,0.1,3.2,16,69,0.0,3.2,1.6,0.0,1.4,0.2,0.0,0.0,0.0,1.4,2.1,0.01,0.01,0.05,0.00,0.0,5,156,39,8,18,0.27,0.02,0.1,65,0.10,0.01,1,0,0.01,0.0,0.03,41.21,0.10,0.01,0.2,0.1,0.05,0.0,35,0.14,0.1,18
13-509,"Cabbage, white, raw","19 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",90.1,1.2,0.1,4.8,24,101,0.0,4.8,2.4,0.01,2.1,0.3,0.0,0.0,0.0,2.0,3.0,0.01,0.01,0.08,0.00,0.0,7,227,56,12,26,0.39,0.03,0.2,94,0.12,1,2,0,0.01,0.0,0.05,60.00,0.23,0.02,0.3,0.1,0.12,0.0,84,0.21,0.1,47
11-740,"Cake bars, chocolate","10 samples, 10 products, including chocolate chip, Galaxy, Milky Way, Penguin and Crunchie",AN,"Direct Laboratories, Nutrient analysis catch up project, 2003",10.5,5.0,21.6,57.5,430,1804,15.0,41.5,2.1,0.01,1.0,33.3,1.2,4.0,0.0,1.6,1.9,9.90,7.91,2.71,0.19,29.4,235,236,96,34,164,1.64,0.27,0.7,290,0.27,3,14,37,29,1.3,2.93,NULL,0.05,0.17,0.4,0.7,0.01,0.01,4,0.52,2.6,0
11-916,Cake rusks,"South Asian sweet bread, 6 samples, ethnic food store",AM,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",2.6,8.7,23.1,55.7,452,1894,31.1,24.6,0.01,0.01,0.01,23.5,1.1,0.01,0.0,2.2,1.6,8.08,8.42,4.58,0.36,82.8,359,172,119,20,295,1.51,0.12,0.8,NULL,NULL,NULL,NULL,0,0,NULL,6.18,NULL,0.01,0.12,0.6,NULL,NULL,0.2,21,0.66,2.8,0
11-835,"Cake, battenberg, retail","10 samples, 4 products, including standard and mini cakes",AN,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",16.7,4.4,9.9,65.9,354,1495,9.1,56.8,5.1,0.01,0.3,46.7,4.7,0.01,0.0,1.1,1.5,3.08,4.08,2.17,0.02,5.9,137,174,107,18,134,0.58,0.13,0.4,270,0.21,3,NULL,NULL,0.01,NULL,1.14,NULL,0.03,0.06,0.4,0.9,0.04,0.1,8,0.21,3.8,0
11-836,"Cake, carrot, iced, retail","10 samples, 8 products, including plain carrot and products with orange and walnuts",AN,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",20.4,4.2,20.2,46.8,374,1569,12.3,34.5,0.01,0.01,0.8,31.8,1.9,0.01,0.0,1.1,1.9,5.14,8.19,5.58,0.16,53.2,220,140,101,14,169,0.92,0.16,0.5,240,0.45,4,NULL,70,547,0.01,2.30,NULL,0.07,0.08,0.4,1.1,0.09,0.2,9,0.27,4.0,2
11-1041,"Cake, carrot, with topping, homemade","Recipe, with topping",AN,Based on Mary Berry's ultimate cake book. Recalculated 2014,36.1,4.0,21.1,37.7,346,1447,13.9,23.7,1.3,0.01,1.2,20.8,0.0,0.4,NULL,0.9,1.5,5.19,5.31,9.61,0.14,36.9,214,152,81,19,175,0.83,0.10,0.5,NULL,0.33,3,NULL,NULL,937,NULL,NULL,1.80,0.08,0.09,0.4,1.1,0.10,0.2,11,0.28,3.5,1
11-1044,"Cake, cherry, homemade",Recipe,AN,Recalculated 2014,15.7,5.0,14.4,66.5,398,1680,22.8,40.0,7.9,NULL,4.2,20.7,6.9,0.01,NULL,1.2,NULL,4.67,6.31,2.32,0.03,71.2,227,85,61,11,113,1.17,0.09,0.5,251,0.15,5,NULL,NULL,116,NULL,NULL,NULL,0.07,0.11,0.4,1.2,0.05,0.6,7,0.29,4.4,0.01
11-527,"Cake, chocolate fudge","12 samples, 6 brands. Mixture of fresh and frozen",AN,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",24.7,5.2,14.3,55.7,358,1509,11.3,43.5,1.7,0.01,0.4,39.1,1.3,1.0,0.0,0.9,1.9,4.57,6.37,2.72,0.36,33.0,265,357,67,45,156,3.11,0.38,0.8,274,0.37,4,NULL,30,30,0.4,1.45,NULL,0.05,0.06,0.5,1.5,0.01,0.01,7,0.42,2.6,0.01
